27-02-2020 23.40;;10,781;MWh;340,149;M3;16344;h;64,1;c;31,7;c;2;kW;55;l/h;0;;0;;24,534;MWh;13,752;MWh;0;;0;;125;d;IZAR Plus Portal
27-02-2020 23.59;;18,95;MWh;851,858;M3;16608;h;58,2;c;31;c;2,4;kW;76;l/h;0;;0;;54,222;MWh;35,271;MWh;0;;0;;114;d;IZAR Plus Portal
27-02-2020 23.28;;14,001;MWh;423,282;M3;16080;h;61,5;c;26,7;c;1;kW;26;l/h;0;;0;;29,305;MWh;15,304;MWh;0;;0;;136;d;IZAR Plus Portal
27-02-2020 23.58;;10,799;MWh;373,44;M3;16704;h;60,6;c;23,3;c;1,3;kW;31;l/h;0;;0;;24,497;MWh;13,698;MWh;0;;0;;109;d;IZAR Plus Portal
27-02-2020 23.55;;13,022;MWh;523,578;M3;16488;h;59,2;c;28;c;1,9;kW;54;l/h;0;;0;;33,119;MWh;20,097;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.56;;14,144;MWh;370,12;M3;17040;h;62,7;c;24,8;c;1,2;kW;29;l/h;0;;0;;25,9;MWh;11,755;MWh;0;;0;;95;d;IZAR Plus Portal
27-02-2020 23.57;;13,736;MWh;409,614;M3;16464;h;61;c;27;c;1,4;kW;35;l/h;0;;0;;27,485;MWh;13,749;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.59;;14,728;MWh;499,666;M3;16608;h;59,6;c;31,6;c;1,8;kW;56;l/h;0;;0;;32,69;MWh;17,961;MWh;0;;0;;114;d;IZAR Plus Portal
27-02-2020 23.59;;13,906;MWh;421,789;M3;14712;h;63,3;c;38;c;2,5;kW;88;l/h;0;;0;;29,627;MWh;15,72;MWh;0;;0;;193;d;IZAR Plus Portal
27-02-2020 23.58;;14,977;MWh;623,548;M3;16176;h;56,9;c;25,4;c;0,5;kW;15;l/h;0;;0;;43,076;MWh;28,099;MWh;0;;0;;132;d;IZAR Plus Portal
27-02-2020 23.53;;16,137;MWh;467,144;M3;17184;h;61,2;c;26,8;c;1,4;kW;37;l/h;0;;0;;31,212;MWh;15,074;MWh;0;;0;;90;d;IZAR Plus Portal
27-02-2020 23.59;;17,147;MWh;736,603;M3;15144;h;63,6;c;50,7;c;2;kW;139;l/h;0;;0;;52,457;MWh;35,31;MWh;0;;0;;175;d;IZAR Plus Portal
27-02-2020 23.57;;11,902;MWh;300,102;M3;17160;h;62,7;c;22,5;c;1,5;kW;33;l/h;0;;0;;20,832;MWh;8,929;MWh;0;;0;;91;d;IZAR Plus Portal
27-02-2020 23.55;;12,031;MWh;358,683;M3;17232;h;62,7;c;26,4;c;1,6;kW;38;l/h;0;;0;;24,54;MWh;12,508;MWh;0;;0;;87;d;IZAR Plus Portal
27-02-2020 23.57;;14,25;MWh;494,924;M3;17208;h;58,4;c;33,1;c;0,6;kW;22;l/h;0;;0;;32,656;MWh;18,405;MWh;0;;0;;89;d;IZAR Plus Portal
27-02-2020 23.58;;9,111;MWh;289,174;M3;14976;h;59,4;c;25,3;c;0,7;kW;18;l/h;0;;0;;19,199;MWh;10,087;MWh;0;;0;;182;d;IZAR Plus Portal
27-02-2020 23.59;;19,538;MWh;578,047;M3;17544;h;61,6;c;31,2;c;1,6;kW;45;l/h;0;;0;;40,354;MWh;20,815;MWh;0;;0;;75;d;IZAR Plus Portal
27-02-2020 23.56;;10,461;MWh;298,776;M3;16320;h;63,1;c;26;c;1,6;kW;38;l/h;0;;0;;21,253;MWh;10,792;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.58;;13,943;MWh;410,584;M3;15288;h;62,8;c;31;c;2,5;kW;69;l/h;0;;0;;28,475;MWh;14,532;MWh;0;;0;;169;d;IZAR Plus Portal
27-02-2020 23.58;;15,805;MWh;662,146;M3;16656;h;60;c;36;c;2,1;kW;78;l/h;0;;0;;42,284;MWh;26,479;MWh;0;;0;;112;d;IZAR Plus Portal
27-02-2020 23.58;;15,377;MWh;522,914;M3;16032;h;63,9;c;53,8;c;1,8;kW;153;l/h;0;;0;;37,826;MWh;22,449;MWh;0;;0;;138;d;IZAR Plus Portal
27-02-2020 23.59;;12,941;MWh;382,127;M3;14592;h;62,3;c;25,8;c;1,8;kW;42;l/h;0;;0;;27,314;MWh;14,373;MWh;0;;0;;198;d;IZAR Plus Portal
27-02-2020 23.23;;11,66;MWh;506,457;M3;14952;h;60,2;c;25,1;c;1;kW;25;l/h;0;;0;;35,17;MWh;23,51;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.58;;14,092;MWh;440,657;M3;16464;h;60,4;c;29,4;c;1,3;kW;38;l/h;0;;0;;28,973;MWh;14,881;MWh;0;;0;;120;d;IZAR Plus Portal
27-02-2020 23.58;;17,301;MWh;459,264;M3;16488;h;62;c;24,3;c;1,9;kW;45;l/h;0;;0;;31,355;MWh;14,053;MWh;0;;0;;119;d;IZAR Plus Portal
27-02-2020 23.27;;13,007;MWh;515,535;M3;16224;h;64,9;c;48,1;c;3;kW;156;l/h;0;;0;;36,969;MWh;23,961;MWh;0;;0;;130;d;IZAR Plus Portal
27-02-2020 23.01;;13,513;MWh;407,637;M3;14784;h;60;c;24,8;c;1;kW;26;l/h;0;;0;;27,279;MWh;13,766;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.58;;14,229;MWh;584,048;M3;15720;h;64;c;51,9;c;2,1;kW;153;l/h;0;;0;;40,867;MWh;26,638;MWh;0;;0;;151;d;IZAR Plus Portal
27-02-2020 23.59;;13,352;MWh;369,555;M3;14808;h;62,4;c;26,3;c;2,1;kW;51;l/h;0;;0;;25,582;MWh;12,23;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.57;;18,324;MWh;673,237;M3;16200;h;62,6;c;28,9;c;1,8;kW;46;l/h;0;;0;;47,744;MWh;29,42;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.58;;16,819;MWh;798,123;M3;14976;h;64,5;c;51,3;c;2;kW;129;l/h;0;;0;;58,749;MWh;41,93;MWh;0;;0;;182;d;IZAR Plus Portal
27-02-2020 23.56;;12,999;MWh;393,923;M3;14760;h;61,2;c;23,9;c;1,5;kW;36;l/h;0;;0;;26,616;MWh;13,616;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.58;;12,994;MWh;347,593;M3;14784;h;62,6;c;25,4;c;1,4;kW;32;l/h;0;;0;;24,314;MWh;11,319;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.25;;11,123;MWh;554,147;M3;16200;h;59,5;c;23,7;c;1,3;kW;31;l/h;0;;0;;37,566;MWh;26,443;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.59;;10,946;MWh;317,902;M3;16728;h;61,7;c;30,3;c;1,5;kW;42;l/h;0;;0;;21,437;MWh;10,491;MWh;0;;0;;109;d;IZAR Plus Portal
27-02-2020 23.59;;16,135;MWh;425,026;M3;14784;h;63,3;c;26,1;c;1,9;kW;44;l/h;0;;0;;29,957;MWh;13,822;MWh;0;;0;;190;d;IZAR Plus Portal
27-02-2020 23.59;;11,032;MWh;332,728;M3;16896;h;57,1;c;28,7;c;0,4;kW;12;l/h;0;;0;;22,223;MWh;11,19;MWh;0;;0;;102;d;IZAR Plus Portal
27-02-2020 23.25;;13,185;MWh;424,861;M3;16176;h;63,8;c;23,5;c;1,8;kW;39;l/h;0;;0;;30,328;MWh;17,143;MWh;0;;0;;132;d;IZAR Plus Portal
27-02-2020 23.27;;11,224;MWh;330,419;M3;14784;h;62,2;c;28,1;c;1,6;kW;42;l/h;0;;0;;22,698;MWh;11,474;MWh;0;;0;;189;d;IZAR Plus Portal
27-02-2020 23.57;;21,425;MWh;808,394;M3;16200;h;63,8;c;29,4;c;6,6;kW;168;l/h;0;;0;;58,883;MWh;37,457;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.19;;12,625;MWh;420,453;M3;16176;h;62,2;c;25,5;c;1,8;kW;43;l/h;0;;0;;29,754;MWh;17,128;MWh;0;;0;;132;d;IZAR Plus Portal
